user,scenario,game,framerate (fps),bitrate (Mbps),resolution,overall quality,visual quality,immersive level,cybersickness,continue
u1,b8,angryBird,72,8,100%,3,3,4,1,1
u1,f12,angryBird,12,32,100%,1,5,2,2,0
u1,f12,artPuzzle,12,32,100%,2,5,1,2,0
u1,f36,artPuzzle,36,32,100%,4,5,5,1,1
u1,b8,beatSaber,72,8,100%,4,3,4,1,0
u1,f36,angryBird,36,32,100%,4,5,4,1,1
u1,f36,beatSaber,36,32,100%,5,5,5,1,0
u1,f24,artPuzzle,24,32,100%,2,5,4,1,1
u1,r1,beatSaber,72,32,50%,4,3,4,1,1
u1,b32,angryBird,72,32,100%,5,5,5,1,1
u1,r1,angryBird,72,32,50%,4,3,4,1,1
u1,b32,beatSaber,72,32,100%,5,5,5,1,1
u1,f12,beatSaber,12,32,100%,2,5,2,1,0
u1,b2,beatSaber,72,2,100%,2,1,2,1,0
u1,b8,artPuzzle,72,8,100%,4,4,4,1,1
u1,r2,angryBird,72,32,75%,5,4,5,1,1
u1,r1,artPuzzle,72,32,50%,4,3,3,1,1
u1,f24,angryBird,24,32,100%,5,5,5,1,1
u1,b2,artPuzzle,72,2,100%,2,1,2,1,0
u1,r2,artPuzzle,72,32,75%,5,5,5,1,1
u1,b2,angryBird,72,2,100%,2,1,2,1,0
u1,b32,artPuzzle,72,32,100%,5,5,5,1,1
u1,f24,beatSaber,24,32,100%,3,5,5,1,1
u1,r2,beatSaber,72,32,75%,5,5,5,1,1
u1,l100,angryBird,72,32,100%,4,4,4,2,1
u1,l500,artPuzzle,72,32,100%,3,4,3,2,0
u1,l300,angryBird,72,32,100%,2,5,3,3,0
u1,l300,beatSaber,72,32,100%,1,4,1,2,0
u1,l100,beatSaber,72,32,100%,3,4,3,3,0
u1,l500,angryBird,72,32,100%,2,5,3,4,0
u1,l300,artPuzzle,72,32,100%,3,4,3,1,0
u1,l500,beatSaber,72,32,100%,1,4,1,2,0
u1,l100,artPuzzle,72,32,100%,4,4,4,3,1
